0,0,0,1,15,58,2,0,2,0,0,6,0,0,1
0,0,0,1,15,57,1,6,1,1,4,21,-2,-1,1
0,0,0,2,35,156,3,9,4,0,0,22,2,1,0
0,0,0,3,16,55,1,3,0,0,1,6,-4,-1,1
0,0,0,2,13,61,2,4,1,0,0,9,-2,-1,0
0,0,0,1,6,28,0,1,0,0,0,6,0,0,1
0,1,0,2,8,27,0,2,1,0,0,10,-4,0,1
0,0,0,1,33,146,4,7,2,2,0,4,4,-1,1
0,0,0,1,5,23,1,1,1,0,0,5,0,0,0
0,2,0,2,27,120,3,2,2,1,0,17,3,2,1
0,0,0,0,12,49,1,4,0,0,0,13,1,0,0
0,0,0,1,48,233,4,10,4,1,0,34,-1,0,0
0,0,0,2,20,94,3,5,1,1,0,11,1,-4,1
0,2,0,2,18,76,2,2,1,0,0,16,-2,-2,0
0,0,0,1,65,294,2,5,0,0,0,205,6,3,0
0,0,0,0,8,29,0,3,0,1,0,4,0,0,0
0,0,0,1,36,125,7,5,0,2,6,19,1,1,0
1,0,0,5,41,166,2,9,3,0,0,9,6,3,0
0,0,0,1,25,89,0,5,1,2,1,7,7,3,0
0,2,0,2,15,57,1,6,0,0,0,13,-1,0,1
0,0,0,2,24,116,1,9,2,0,0,46,-3,-2,1
0,0,0,1,6,24,0,1,1,0,0,9,0,1,0
0,0,1,1,19,95,3,4,1,3,0,9,4,0,1
0,0,1,2,27,87,4,8,0,0,1,11,-4,-1,1
0,0,2,4,36,144,4,5,2,1,0,21,6,0,0
0,0,0,1,25,98,2,5,1,3,0,5,0,0,1
1,0,0,5,23,104,1,6,1,0,0,19,0,0,0
0,0,0,0,10,34,1,2,0,1,0,9,0,0,0
0,0,0,0,10,39,2,1,0,1,0,5,4,2,0
0,0,5,8,57,232,7,8,3,1,0,25,3,-1,1
0,0,0,1,19,85,3,3,2,2,0,10,7,3,0
0,0,0,1,15,54,2,1,0,0,4,6,1,0,0
0,0,0,2,34,135,4,2,1,1,0,18,-3,-2,1
0,0,0,1,13,57,0,2,2,1,0,5,-1,1,0
0,0,0,2,28,139,2,7,2,1,0,33,0,-1,0
